ID,Assessment Date,Address,Unit # (if applicable),Is there a fire alarm system in this building serving more than one unit? (Does the smoke detector in 1 unit set off the entire building's fire alarm system),Is the building sprinklered?,Are there fire extinguishers in the building?,Is there a fire alarm system in this building?,Is the building sprinklered?2,Are there fire extinguishers in the building?2
180,16/12/2023,231 Essa road,Base building one plant,,,,,,
181,16/12/2023,241 Essa road,2,,,,,,
182,12/12/2023,102 Commerce Park Drive,5,,,,No,Yes,Yes
183,12/12/2023,142 Commerce Park Drive,A & B,,,,No,Yes,Yes
184,18/12/2023,132 Commerce Park,O,,,,,,
185,18/12/2023,132 Commerce Park,P,,,,,,
186,20/12/2023,660 bay view dr,12,,,,No,Yes,Yes
187,20/12/2023,660 bay view drive,5,,,,Yes,Yes,Yes
188,20/12/2023,563 Essa Rd.,Tim Hortons,,,,No,No,Yes
189,20/12/2023,98 Dunlop st ,98,,,,Yes,No,Yes
190,20/12/2023,104 Dunlop ,104,,,,Yes,No,Yes
191,20/12/2023,106 Dunlop east,106,,,,No,No,Yes
192,21/12/2023,12 Fairview dr ,Na ,,,,Yes,No,Yes
193,21/12/2023,12 Fairview ,Na ,,,,Yes,No,Yes
194,21/12/2023,28 curry,3,,,,No,Yes,Yes
195,21/12/2023,28 curry,28,,,,No,Yes,Yes
196,22/12/2023,132 Commerce Park dr,E,,,,,,
197,22/12/2023,279 Yonge street,5,,,,No,No,Yes
198,22/12/2023,279 Yonge street,2-5,,,,,,
199,23/12/2023,35 Dunlop Street ,35,,,,No,No,Yes
200,27/12/2023,580 Bayfield street,1,,,,,,
201,27/12/2023,580 Bayfield street,2,,,,,,
202,27/12/2023,580 Bayfield street ,3,,,,,,
203,27/12/2023,477 Grove Street ,4,,,,No,No,Yes
204,28/12/2023,431 huronia road,13,,,,,,
205,28/12/2023,431 huronia road,12,,,,,,
206,27/12/2023,411 Bayfield Street ,E,,,,Yes,Yes,Yes
207,28/12/2023,411 Bayfield Street ,3A,,,,,,
208,28/12/2023,411 Bayfield Street,4A,,,,,,
209,28/12/2023,411 Bayfield Street,3C,,,,,,
210,03/01/2024,54 maple,54b,,,,No,No,Yes
211,03/01/2024,18 mulcaster,18,,,,No,No,Yes
212,03/01/2024,140 Dunlop street east ,101,,,,Yes,Yes,Yes
213,23/12/2023,44 Cedar Point Drive,1112,,,,,,
214,04/01/2024,44 Cedar Point Drive,1111,,,,,,
215,04/01/2024,30 Morrow Rd. ,1,,,,No,No,Yes
216,04/01/2024,88 Dunlop st east,N/a,,,,Yes,No,Yes
217,04/01/2024,55 Dunlop st east,N/a,,,,Yes,No,Yes
218,05/01/2024,110 Saunders Road,15,,,,No,Yes,Yes
219,05/01/2024,110 Saunders Road,10,,,,,,
220,08/01/2024,431 Huronia rd ,4,,,,No,No,Yes
221,08/01/2024,74 Cedar Point Drive,1005,,,,No,No,Yes
222,08/01/2024,74 Cedar Point ,1010,,,,No,No,Yes
223,11/01/2024,431 Yonge St.,3,,,,No,No,Yes
224,12/01/2024,40 morrow rd,40,,,,No,No,Yes
225,12/01/2024,28 Currie Street,13b,,,,No,Yes,No
226,12/01/2024,28 Currie Street,13a,,,,No,Yes,No
227,12/01/2024,461 big bay point rd,Na,,,,Yes,Yes,Yes
228,12/01/2024,640 Yonge st Barrie ,Na,,,,No,No,Yes
229,12/01/2024,624 Yonge st barrie,Na,,,,No,No,Yes
230,15/01/2024,53 Ardagh rd,Na,,,,No,No,Yes
231,15/01/2024,2 Byrne dr,Na,,,,No,No,Yes
232,15/01/2024,92 commerce park,9,,,,No,Yes,Yes
233,15/01/2024,150 Dunlop St,106,,,,Yes,Yes,Yes
234,15/01/2024,130 Dunlop st E,Na,,,,No,No,No
235,15/01/2024,150 Dunlop east ,201,,,,Yes,Yes,Yes
236,15/01/2024,42 Maple,1,,,,No,No,Yes
237,16/01/2024,20 Lennox,N2Y Tire Performance,,,,No,No,Yes
238,16/01/2024,16 Lennox ,Nil,,,,Yes,No,Yes
239,16/01/2024,10 Lennox ,Nil ,,,,No,No,Yes
240,16/01/2024,132 Commerce Park,O,,,,,,
241,16/01/2024,494 Veterins Dr. ,4,,,,,,
242,16/01/2024,360 Bayfield st,First Choice Haircutters,,,,No,No,Yes
243,15/01/2024,359 Huronia rd,None,,,,No,No,Yes
244,17/01/2024,4 Fairview Road,1,,,,No,No,Yes
245,17/01/2024,20 Dunlop st east,N/a,,,,Yes,No,Yes
246,17/01/2024,39 Dunlop st e,Na,,,,Yes,No,Yes
247,17/01/2024,353 Anne st n,1,,,,No,Yes,Yes
248,18/01/2024,55 Mary st,0,,,,No,No,Yes
249,18/01/2024,83 mary st,0,,,,No,No,No
250,18/01/2024,80 Bayfield ,NA,,,,No,No,Yes
251,18/01/2024,110 Saunders ,12,,,,No,Yes,Yes
252,18/01/2024,151 Essa Road ,202,,,,No,No,Yes
253,18/01/2024,110 Saunders ,6,,,,No,Yes,Yes
